name,description,price,category,image_url,stock_quantity,is_available
Cocina de Pie Mabe CMP6014AG0 4 Quemadores Grafito,No aplica para retiro en tienda. Sólo delivery.Número de quemadores: 4Tipo de cocina: GasCapacidad del horno: 79 litros,679.0,Electrohogar,https://www.metro.pe/cocina-de-pie-mabe-cmp6014ag0-4-quemadores-grafito/p,22,True
Refrigerador Indurama 177L RI-289D Autofrost Croma,No aplica para retiro en tienda. Sólo delivery.Capacidad: 177 litrosTipo: Top FreezerSistema de Frío: AutofrostCon dispensador de agua,899.0,Electrohogar,https://www.metro.pe/refrigerador-indurama-177l-ri-289d-autofrost-croma-2/p,40,True
Refrigeradora Hisense Top Mount 205L RD267H Defrost,No aplica para retiro en tienda. Sólo delivery.Dispensador de aguaIluminación LEDBandejas ajustables,0.0,Electrohogar,https://www.metro.pe/refrigeradora-hisense-top-mount-205l-rd267h-defrost-1019485/p,25,True
Lavadora Hisense Carga Superior 10KG WT3J1023UT,"No aplica para retiro en tienda. Sólo delivery.Limpieza BurbujaCierre suave, seguro y silenciosoControl inteligente del agua",699.0,Electrohogar,https://www.metro.pe/lavadora-hisense-carga-superior-10kg-wt3j1023ut-1019495/p,37,True
Refrigeradora Indurama Ri-359I No Frost 2 Puertas,No aplica para retiro en tienda. Sólo delivery.Cantidad de Puertas: 2No FrostEstilo de Motor: Compresor InverterCapacidad: 203,1099.0,Electrohogar,https://www.metro.pe/refrigeradora-indurama-ri-359i-no-frost-2-puertas-1024440/p,4,True
Refrigeradora Indurama RI-788DI de 508 Litros,No aplica para retiro en tienda. Sólo delivery.Capacidad Neta 508 LitrosColor CromaNo frost,2199.0,Electrohogar,https://www.metro.pe/refrigeradora-indurama-ri-788di-de-508-litros-1018779/p,41,True
Refrigeradora Samsung TMF 341L RT35DG5720S9/PE,No aplica para retiro en tienda. Sólo delivery.All Around CoolingWiFi / SmartThingsPower Cool,1599.0,Electrohogar,https://www.metro.pe/ref-rt35dg5720s9pe-tmf-341l-silver-c-d/p,32,True
Refrigeradora Top Freezer LG GT24BPP 241L Door Cooling Plateada,No aplica para retiro en tienda. Sólo delivery.Capacidad: 241 litrosTipo: Top FreezerSistema de Frío: Door Cooling | Multi Air Flow,1399.0,Electrohogar,https://www.metro.pe/refrigeradora-top-freezer-lg-gt24bpp-241l-door-cooling-plateada-2/p,29,True
Lavadora Carga Superior LG WT13WPBK 13kg Smart Motion Blanco,No aplica para retiro en tienda. Sólo delivery.Sistema de lavado TurboDrum LG.Tecnología Smart Inverter LGFunción Auto Pre Lavado para quitar las manchas más difíciles.,1199.0,Electrohogar,https://www.metro.pe/lavadora-carga-superior-lg-wt13wpbk-13kg-smart-motion-blanco-1005680/p,7,True
Oster Licuadora Osterizer 250-22 600W,No aplica para retiro en tienda. Sólo delivery.Capacidad de jarra: 1.25 LtPotencia de 600 wattsCuchilla de acero inoxidable,249.0,Electrohogar,https://www.metro.pe/oster-licuadora-osterizer-250-22-600w/p,16,True
Refrigeradora Top Freezer LG GT37SGP 374L Door Cooling Plateado,No aplica para retiro en tienda. Sólo delivery.Door CoolingHygiene FreshThinQ Conectividad Wi-Fi,1799.0,Electrohogar,https://www.metro.pe/refrigeradora-top-freezer-lg-gt37sgp-374l-door-cooling-plateado-957796/p,25,True
Refrigerador Side by Side LG LS51BPP 509L Multi Air Flow Plateada,No aplica para retiro en tienda. Sólo delivery.Total No Frost: Evita la acumulación de escarchaMúltiples salidas de airePanel Led Táctil: manera conveniente de modificar la configuraciónLS51BPP.AHSGLPR,2349.0,Electrohogar,https://www.metro.pe/refrigerador-side-by-side-lg-ls51bpp-509l-multi-air-flow-plateada-2/p,2,True
Refrigeradora Samsung 234L RT22FARADS8/PE All Around Cooling,No aplica para retiro en tienda. Sólo delivery.Capacidad de 234 litrosSistema de enfriamiento All Around CoolingVentilación de MultiflujoCajón Moist Fresh ZoneBandeja Easy SlideFiltro desodorizanteMedidas (Alt x Anch x Prof): 154.5 x 55.5 x 63.7 cmRT22FARADS8/PERT22FARADS8/PE,1299.0,Electrohogar,https://www.metro.pe/refrigeradora-samsung-234l-rt22farads8-pe-all-around-cooling-2/p,17,True
Oster Olla Arrocera Multiusos 700W CKSTRC1700R 1.8 lt,No aplica para retiro en tienda. Sólo delivery.- Potencia de salida de 700 watts- Capacidad: 1.8 litros / 10 tazas- Mantiene el arroz caliente- Apagado automático- Exclusiva fuente de calor esférica que asegura una cocción uniforme- Material antiadherente en el tazón- Material de la tapa en vidrio refractario- ver más,95.0,Electrohogar,https://www.metro.pe/oster-olla-arrocera-multiusos-700w-ckstrc1700r-1-8-lt/p,35,True
Freidora de Aire Nex ARF-02027 2L,No aplica para retiro en tienda. Sólo delivery.Capacidad: 2 litrosPotencia: 1000 WattsTemperatura ajustable de 80° - 200°Temporizador de apagado automático,79.0,Electrohogar,https://www.metro.pe/freidora-de-aire-nex-arf-02027-2l-1003454/p,40,True
Refrigeradora Samsung TMF 301L RT31DG5220S9/PE,No aplica para retiro en tienda. Sólo delivery.All Around CoolingWiFi / SmartThingsPower Cool,1399.0,Electrohogar,https://www.metro.pe/ref-rt31dg5220s9pe-tmf-301l-silver-c-d/p,12,True
Refrigeradora Samsung 255L RT25FARADS8/PE All Around Cooling,No aplica para retiro en tienda. Sólo delivery.Capacidad de 255 litrosSistema de enfriamiento All Around CoolingVentilación de MultiflujoCajón Moist Fresh ZoneBandeja Easy SlideFiltro desodorizanteMedidas (Alt x Anch x Prof): 163.5 x 55.5 x 63.7 cmRT25FARADS8/PERT25FARADS8/PE,1399.0,Electrohogar,https://www.metro.pe/refrigeradora-samsung-255l-rt25farads8-pe-all-around-cooling-2/p,31,True
Lavadora Carga Superior LG WT16BVTB 16 Kg TurboDrum Negro,TurboDrumLimpieza de tinaLavado rapido,1599.0,Electrohogar,https://www.metro.pe/lavadora-carga-superior-lg-wt16bvtb-16-kg-turbodrum-negro-1019735/p,9,True
Refrigeradora Side by Side LG GS66SDP 617L Hygiene Fresh Plateado,No aplica para retiro en tienda. Sólo delivery.No frost3 PuertasHygiene Fresh,4499.0,Electrohogar,https://www.metro.pe/refrigeradora-side-by-side-lg-gs66sdp-617l-hygiene-fresh-plateado-1016815/p,35,True
"Ventilador 3 en 1 16"" Nex 50W Negro",No aplica para retiro en tienda. Sólo delivery.Multi-selector de velocidadesPotencia 50 WNúmero de aspas: 3Ajustable e inclinación y alturaDiámetro: 40 cm,69.9,Electrohogar,https://www.metro.pe/ventilador-3-en-1-16-nex-50w-negro-1003284/p,1,True
Refrigeradora no frost de 292L Mabe RMA305FWPC,No aplica para retiro en tienda. Sólo delivery.Desmoldador de hielo en contrapuertaDispensador de agua de 2LParrillas de vidrio templado,1449.0,Electrohogar,https://www.metro.pe/refrigeradora-no-frost-de-292l-mabe-rma305fwpc-1019117/p,3,True
Horno Microondas LG 20 Litros MS2032GAS,No aplica para retiro en tienda. Sólo delivery.EasyCleanNivel de PotenciaDescongelado Automático,319.0,Electrohogar,https://www.metro.pe/horno-microondas-lg-20-litros-ms2032gas-1001463/p,32,True
Refrigeradora Samsung TMF 384L RT38DG6730S9/PE,No aplica para retiro en tienda. Sólo delivery.All Around CoolingWiFi / SmartThingsPower Cool,1999.0,Electrohogar,https://www.metro.pe/refrigeradora-samsung-tmf-384l-rt38dg6730s9-pe-1014689/p,28,True
Cocina Indurama Cantabria Qz 5 Hornillas Croma,No aplica para retiro en tienda. Sólo delivery.5 Quemadores sellados1 Quemador Triple LlamaIncluye plancha freidora,1199.0,Electrohogar,https://www.metro.pe/cocina-indurama-cantabria-qz-5-hornillas-croma-1001495/p,28,True
Refrigerador Top Freezer Mabe 239L RMA255FYPG Total Fresh Flow Grafito,No aplica para retiro en tienda. Sólo delivery.Capacidad: 239 litrosTipo: Top FreezerSistema de Frío: Total Fresh Flow,1399.0,Electrohogar,https://www.metro.pe/refrigerador-top-freezer-mabe-239l-rma255fypg-total-fresh-flow-grafito-2/p,2,True
"Cocina Oster Os-Pgsc20G4Htss 20""",No aplica para retiro en tienda. Sólo delivery.Quemador triple llamaBase de acero inoxidableEncendido eléctrico y luz en el horno,779.0,Electrohogar,https://www.metro.pe/cocina-oster-os-pgsc20g4htss-20-1009455/p,21,True
"Ventilador de Torre 30"" Nex 50W",Medida (Alt): 76 cmNúmero de velocidades: 3Bajo nivel de ruidoControl de Oscilación Motor de aluminio,109.9,Electrohogar,https://www.metro.pe/ventilador-de-torre-30-nex-50w-1013960/p,30,True
Freidora de aire Oster 4L digital con ventana,No aplica para retiro en tienda. Sólo delivery.Recubrimiento DiamondForceVentana para facilitar la visiónLuz interior,379.0,Electrohogar,https://www.metro.pe/freidora-de-aire-oster-4l-digital-con-ventana-1024844/p,6,True
Cocina Indurama Coruña Qz 4 Hornillas Croma,No aplica para retiro en tienda. Sólo delivery.4 Quemadores selladosEncendido eléctrico en tableroParrillas de hierro fundido,849.0,Electrohogar,https://www.metro.pe/cocina-indurama-coruna-qz-4-hornillas-croma-1001492/p,32,True
Congelador Indurama CI-320Bl,No aplica para retiro en tienda. Sólo delivery.Ruedas multidireccionalesCapacidad: 310 litros Control de temperatura manualPotencia 140W,1099.0,Electrohogar,https://www.metro.pe/congelador-indurama-ci-320bl-2/p,44,True
Lavadora Samsung Wa19Cg6441Bdpe 19Kg Gris,No aplica para retiro en tienda. Sólo delivery.EcobubbleLavado intensoSuavizante profundo,1999.0,Electrohogar,https://www.metro.pe/lavadora-samsung-wa19cg6441bdpe-19kg-gris-1014678/p,46,True
Cocina de Pie Indurama Fontana Spazio20 4 Quemadores,No aplica para retiro en tienda. Sólo delivery.Número de quemadores: 4Tipo de cocina: GasCapacidad del horno: 55 litros,649.0,Electrohogar,https://www.metro.pe/cocina-de-pie-indurama-fontana-spazio20-4-quemadores/p,41,True
Microondas LG MH7032JAS EasyClean Negro,EasyCleanDoradorModo de cocción,439.0,Electrohogar,https://www.metro.pe/microondas-lg-mh7032jas-easyclean-negro-1017856/p,16,True
